year,fall,cluster
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1991.0000000000002,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
1989.0,Found,1
1989.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2002.0,Found,1
2002.0,Found,1
2001.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2003.0000000000002,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2004.0,Found,0
2004.0,Found,0
2004.0,Found,0
2004.0,Found,0
2004.0,Found,0
2004.0,Found,0
1997.0,Found,1
1997.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2002.0,Found,1
1995.0000000000002,Found,1
2005.0,Found,0
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
2001.0,Found,1
2003.0000000000002,Found,1
1997.0,Found,1
2002.0,Found,1
2002.0,Found,1
2000.0,Found,1
1971.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1990.0,Found,1
1991.0000000000002,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1992.0,Found,1
1993.0,Found,1
1993.0,Found,1
1993.0,Found,1
1993.0,Found,1
1993.0,Found,1
1993.0,Found,1
1993.0,Found,1
2001.0,Found,1
1988.0,Found,1
2005.0,Found,0
2000.0,Found,1
2000.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2002.0,Found,1
2003.0000000000002,Found,1
2002.0,Found,1
2003.0000000000002,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2001.0,Found,1
2006.0,Found,0
2006.9999999999998,Found,0
2006.9999999999998,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2010.0,Found,0
2010.0,Found,0
2010.0,Found,0
2010.0,Found,0
2010.0,Found,0
2010.0,Found,0
2010.0,Found,0
2010.0,Found,0
2010.0,Found,0
2010.0,Found,0
2010.0,Found,0
2010.0,Found,0
2010.0,Found,0
2010.0,Found,0
2006.9999999999998,Found,0
2006.9999999999998,Found,0
1996.0,Found,1
1998.0,Found,1
2010.9999999999998,Found,0
2006.0,Found,0
2006.0,Found,0
2006.0,Found,0
2006.0,Found,0
2006.0,Found,0
2006.0,Found,0
2006.0,Found,0
2006.0,Found,0
2006.0,Found,0
2006.0,Found,0
2006.0,Found,0
2006.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2009.0,Found,0
2010.0,Found,0
2010.0,Found,0
2010.0,Found,0
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1982.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.0,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
1983.9999999999998,Found,1
